country,city,iso3,year,month,date,currency,hotel_price_usd,meal_price_usd,transport_pass_usd,cost_index,source
USA,San Francisco,USA,2023,5,2023-05-01,USD,74.82,8.68,25.25,53.9,synthetic
USA,San Francisco,USA,2023,6,2023-06-01,USD,76.73,8.59,25.37,54.5,synthetic
USA,San Francisco,USA,2023,7,2023-07-01,USD,88.39,8.57,29.29,60.6,synthetic
USA,San Francisco,USA,2023,8,2023-08-01,USD,85.11,8.03,26.67,57.4,synthetic
USA,San Francisco,USA,2023,9,2023-09-01,USD,73.58,9.25,27.88,55.3,synthetic
USA,San Francisco,USA,2023,10,2023-10-01,USD,74.37,9.31,24.15,54.3,synthetic
USA,San Francisco,USA,2023,11,2023-11-01,USD,68.61,8.08,25.62,50.5,synthetic
USA,San Francisco,USA,2023,12,2023-12-01,USD,77.21,8.88,25.93,55.4,synthetic
USA,San Francisco,USA,2024,1,2024-01-01,USD,63.8,8.03,26.92,49.0,synthetic
USA,San Francisco,USA,2024,2,2024-02-01,USD,77.16,9.58,31.71,58.7,synthetic
USA,San Francisco,USA,2024,3,2024-03-01,USD,74.71,8.05,22.41,51.7,synthetic
USA,San Francisco,USA,2024,4,2024-04-01,USD,73.86,8.14,25.58,52.7,synthetic
USA,San Francisco,USA,2024,5,2024-05-01,USD,68.77,8.48,28.31,52.3,synthetic
USA,San Francisco,USA,2024,6,2024-06-01,USD,87.86,8.47,24.43,58.4,synthetic
USA,San Francisco,USA,2024,7,2024-07-01,USD,75.15,8.3,26.24,53.7,synthetic
USA,San Francisco,USA,2024,8,2024-08-01,USD,99.04,8.62,28.15,64.5,synthetic
USA,San Francisco,USA,2024,9,2024-09-01,USD,69.42,7.95,24.56,50.2,synthetic
USA,San Francisco,USA,2024,10,2024-10-01,USD,68.11,9.65,24.83,52.6,synthetic
USA,San Francisco,USA,2024,11,2024-11-01,USD,77.16,8.09,28.06,54.9,synthetic
USA,San Francisco,USA,2024,12,2024-12-01,USD,89.44,8.47,26.27,59.7,synthetic
USA,San Francisco,USA,2025,1,2025-01-01,USD,68.52,8.78,25.5,51.6,synthetic
USA,San Francisco,USA,2025,2,2025-02-01,USD,65.22,7.9,26.66,49.2,synthetic
USA,San Francisco,USA,2025,3,2025-03-01,USD,81.44,8.64,26.12,56.8,synthetic
USA,San Francisco,USA,2025,4,2025-04-01,USD,73.96,9.22,26.75,55.0,synthetic
USA,San Francisco,USA,2025,5,2025-05-01,USD,69.93,9.12,27.13,53.4,synthetic
USA,San Francisco,USA,2025,6,2025-06-01,USD,97.43,8.65,24.08,62.4,synthetic
Canada,Toronto,CAN,2023,1,2023-01-01,CAD,56.44,18.05,45.82,69.8,synthetic
Canada,Toronto,CAN,2023,2,2023-02-01,CAD,54.05,17.23,48.3,68.5,synthetic
Canada,Toronto,CAN,2023,3,2023-03-01,CAD,58.2,16.43,50.84,69.7,synthetic
Canada,Toronto,CAN,2023,4,2023-04-01,CAD,64.78,16.68,51.91,73.2,synthetic
Canada,Toronto,CAN,2023,5,2023-05-01,CAD,48.67,16.55,46.74,64.6,synthetic
Canada,Toronto,CAN,2023,6,2023-06-01,CAD,63.05,15.72,48.51,69.6,synthetic
Canada,Toronto,CAN,2023,7,2023-07-01,CAD,74.99,15.27,49.77,74.1,synthetic
Canada,Toronto,CAN,2023,8,2023-08-01,CAD,67.16,16.27,53.15,73.9,synthetic
Canada,Toronto,CAN,2023,9,2023-09-01,CAD,60.73,17.93,49.13,72.6,synthetic
Canada,Toronto,CAN,2023,10,2023-10-01,CAD,54.98,16.37,50.51,68.2,synthetic
Canada,Toronto,CAN,2023,11,2023-11-01,CAD,59.04,15.51,49.98,68.2,synthetic
Canada,Toronto,CAN,2023,12,2023-12-01,CAD,71.14,19.1,56.19,81.4,synthetic
Canada,Toronto,CAN,2024,1,2024-01-01,CAD,54.25,16.31,44.58,65.6,synthetic
Canada,Toronto,CAN,2024,2,2024-02-01,CAD,55.47,16.91,53.86,70.6,synthetic
Canada,Toronto,CAN,2024,3,2024-03-01,CAD,54.83,15.94,42.2,64.3,synthetic
Canada,Toronto,CAN,2024,4,2024-04-01,CAD,57.46,15.54,47.83,66.8,synthetic
Canada,Toronto,CAN,2024,5,2024-05-01,CAD,54.14,16.5,43.56,65.5,synthetic
Canada,Toronto,CAN,2024,6,2024-06-01,CAD,61.67,18.71,45.19,72.8,synthetic
Canada,Toronto,CAN,2024,7,2024-07-01,CAD,63.74,18.42,59.77,78.6,synthetic
Canada,Toronto,CAN,2024,8,2024-08-01,CAD,63.32,16.23,50.86,71.4,synthetic
Canada,Toronto,CAN,2024,9,2024-09-01,CAD,66.27,15.61,48.82,70.8,synthetic
Canada,Toronto,CAN,2024,10,2024-10-01,CAD,61.84,17.03,48.36,71.3,synthetic
Canada,Toronto,CAN,2024,11,2024-11-01,CAD,57.6,15.23,48.84,66.7,synthetic
Canada,Toronto,CAN,2024,12,2024-12-01,CAD,68.38,16.83,47.74,73.3,synthetic
Canada,Toronto,CAN,2025,1,2025-01-01,CAD,60.42,17.6,50.21,72.3,synthetic
Canada,Toronto,CAN,2025,2,2025-02-01,CAD,59.86,16.65,49.67,70.3,synthetic
Canada,Toronto,CAN,2025,3,2025-03-01,CAD,54.86,16.91,49.33,68.6,synthetic
Canada,Toronto,CAN,2025,4,2025-04-01,CAD,67.97,18.16,51.01,76.6,synthetic
Canada,Toronto,CAN,2025,5,2025-05-01,CAD,54.67,15.49,53.81,67.9,synthetic
Canada,Toronto,CAN,2025,6,2025-06-01,CAD,71.34,17.07,43.6,73.3,synthetic
Canada,Vancouver,CAN,2023,1,2023-01-01,CAD,205.52,17.76,27.2,122.0,synthetic
Canada,Vancouver,CAN,2023,2,2023-02-01,CAD,199.61,17.44,28.07,119.4,synthetic
Canada,Vancouver,CAN,2023,3,2023-03-01,CAD,224.97,14.98,27.31,125.2,synthetic
Canada,Vancouver,CAN,2023,4,2023-04-01,CAD,204.12,18.02,27.05,121.8,synthetic
Canada,Vancouver,CAN,2023,5,2023-05-01,CAD,172.99,18.05,31.13,111.0,synthetic
Canada,Vancouver,CAN,2023,6,2023-06-01,CAD,211.89,18.62,27.13,126.0,synthetic
Canada,Vancouver,CAN,2023,7,2023-07-01,CAD,240.35,16.59,27.12,134.0,synthetic
Canada,Vancouver,CAN,2023,8,2023-08-01,CAD,266.65,18.32,31.14,148.9,synthetic
Canada,Vancouver,CAN,2023,9,2023-09-01,CAD,220.23,18.17,31.16,130.1,synthetic
Canada,Vancouver,CAN,2023,10,2023-10-01,CAD,208.34,18.58,27.19,124.5,synthetic
Canada,Vancouver,CAN,2023,11,2023-11-01,CAD,202.35,16.96,29.69,120.3,synthetic
Canada,Vancouver,CAN,2023,12,2023-12-01,CAD,218.76,18.53,27.4,128.7,synthetic
Canada,Vancouver,CAN,2024,1,2024-01-01,CAD,220.14,18.5,31.31,130.6,synthetic
Canada,Vancouver,CAN,2024,2,2024-02-01,CAD,213.04,16.03,27.64,122.3,synthetic
Canada,Vancouver,CAN,2024,3,2024-03-01,CAD,182.4,17.15,30.71,113.1,synthetic
Canada,Vancouver,CAN,2024,4,2024-04-01,CAD,211.54,16.96,25.8,122.6,synthetic
Canada,Vancouver,CAN,2024,5,2024-05-01,CAD,201.8,16.41,26.47,118.0,synthetic
Canada,Vancouver,CAN,2024,6,2024-06-01,CAD,247.56,18.93,28.95,141.4,synthetic
Canada,Vancouver,CAN,2024,7,2024-07-01,CAD,197.26,18.03,27.91,119.4,synthetic
Canada,Vancouver,CAN,2024,8,2024-08-01,CAD,249.53,19.42,23.76,141.1,synthetic
Canada,Vancouver,CAN,2024,9,2024-09-01,CAD,191.76,18.33,24.7,116.5,synthetic
Canada,Vancouver,CAN,2024,10,2024-10-01,CAD,225.04,18.09,29.42,131.2,synthetic
Canada,Vancouver,CAN,2024,11,2024-11-01,CAD,192.08,18.57,29.85,119.0,synthetic
Canada,Vancouver,CAN,2024,12,2024-12-01,CAD,246.03,17.95,28.3,138.9,synthetic
Canada,Vancouver,CAN,2025,1,2025-01-01,CAD,187.37,17.55,27.47,114.5,synthetic
Canada,Vancouver,CAN,2025,2,2025-02-01,CAD,207.45,18.77,25.71,123.9,synthetic
Canada,Vancouver,CAN,2025,3,2025-03-01,CAD,199.26,19.28,26.32,121.7,synthetic
Canada,Vancouver,CAN,2025,4,2025-04-01,CAD,188.04,17.92,29.41,116.1,synthetic
Canada,Vancouver,CAN,2025,5,2025-05-01,CAD,201.46,19.12,29.44,123.5,synthetic
Canada,Vancouver,CAN,2025,6,2025-06-01,CAD,257.8,18.29,32.29,145.7,synthetic
Mexico,Mexico City,MEX,2023,1,2023-01-01,MXN,136.62,5.21,58.36,85.2,synthetic
Mexico,Mexico City,MEX,2023,2,2023-02-01,MXN,121.89,4.37,62.08,79.3,synthetic
Mexico,Mexico City,MEX,2023,3,2023-03-01,MXN,140.22,4.98,67.0,89.5,synthetic
Mexico,Mexico City,MEX,2023,4,2023-04-01,MXN,120.15,4.16,65.98,79.7,synthetic
Mexico,Mexico City,MEX,2023,5,2023-05-01,MXN,130.34,4.96,68.96,86.3,synthetic
Mexico,Mexico City,MEX,2023,6,2023-06-01,MXN,164.34,5.05,66.79,99.2,synthetic
Mexico,Mexico City,MEX,2023,7,2023-07-01,MXN,169.44,4.63,64.91,99.8,synthetic
Mexico,Mexico City,MEX,2023,8,2023-08-01,MXN,165.11,5.07,63.92,98.5,synthetic
Mexico,Mexico City,MEX,2023,9,2023-09-01,MXN,141.1,4.75,65.19,88.8,synthetic
Mexico,Mexico City,MEX,2023,10,2023-10-01,MXN,144.44,4.25,59.77,87.3,synthetic
Mexico,Mexico City,MEX,2023,11,2023-11-01,MXN,119.39,4.15,62.61,78.2,synthetic
Mexico,Mexico City,MEX,2023,12,2023-12-01,MXN,172.29,4.75,66.64,101.8,synthetic
Mexico,Mexico City,MEX,2024,1,2024-01-01,MXN,147.26,5.21,65.42,92.1,synthetic
Mexico,Mexico City,MEX,2024,2,2024-02-01,MXN,150.12,4.86,61.88,91.3,synthetic
Mexico,Mexico City,MEX,2024,3,2024-03-01,MXN,129.01,4.4,61.65,82.1,synthetic
Mexico,Mexico City,MEX,2024,4,2024-04-01,MXN,131.58,5.06,73.65,88.7,synthetic
Mexico,Mexico City,MEX,2024,5,2024-05-01,MXN,120.48,4.94,60.95,79.3,synthetic
Mexico,Mexico City,MEX,2024,6,2024-06-01,MXN,168.72,4.79,57.31,97.0,synthetic
Mexico,Mexico City,MEX,2024,7,2024-07-01,MXN,174.62,4.65,63.28,101.3,synthetic
Mexico,Mexico City,MEX,2024,8,2024-08-01,MXN,148.64,4.64,67.7,92.6,synthetic
Mexico,Mexico City,MEX,2024,9,2024-09-01,MXN,133.4,4.92,67.4,86.8,synthetic
Mexico,Mexico City,MEX,2024,10,2024-10-01,MXN,149.77,4.73,58.94,89.9,synthetic
Mexico,Mexico City,MEX,2024,11,2024-11-01,MXN,147.02,4.73,70.86,93.3,synthetic
Mexico,Mexico City,MEX,2024,12,2024-12-01,MXN,167.53,4.79,67.34,100.3,synthetic
Mexico,Mexico City,MEX,2025,1,2025-01-01,MXN,156.6,5.43,66.05,96.5,synthetic
Mexico,Mexico City,MEX,2025,2,2025-02-01,MXN,137.19,5.14,61.84,86.6,synthetic
Mexico,Mexico City,MEX,2025,3,2025-03-01,MXN,139.06,4.82,67.18,88.9,synthetic
Mexico,Mexico City,MEX,2025,4,2025-04-01,MXN,126.42,4.37,56.2,78.9,synthetic
Mexico,Mexico City,MEX,2025,5,2025-05-01,MXN,123.35,4.7,64.38,81.3,synthetic
Mexico,Mexico City,MEX,2025,6,2025-06-01,MXN,187.74,5.15,61.31,106.7,synthetic
Brazil,Rio de Janeiro,BRA,2023,1,2023-01-01,BRL,167.45,12.11,40.44,102.3,synthetic
Brazil,Rio de Janeiro,BRA,2023,2,2023-02-01,BRL,144.97,12.36,44.48,95.3,synthetic
Brazil,Rio de Janeiro,BRA,2023,3,2023-03-01,BRL,162.39,13.42,37.88,101.5,synthetic
Brazil,Rio de Janeiro,BRA,2023,4,2023-04-01,BRL,166.96,12.32,37.19,101.3,synthetic
Brazil,Rio de Janeiro,BRA,2023,5,2023-05-01,BRL,149.6,12.68,35.39,94.2,synthetic
Brazil,Rio de Janeiro,BRA,2023,6,2023-06-01,BRL,201.65,13.16,38.6,117.1,synthetic
Brazil,Rio de Janeiro,BRA,2023,7,2023-07-01,BRL,187.07,12.69,36.82,109.8,synthetic
Brazil,Rio de Janeiro,BRA,2023,8,2023-08-01,BRL,205.78,11.0,36.75,114.4,synthetic
Brazil,Rio de Janeiro,BRA,2023,9,2023-09-01,BRL,134.14,11.25,41.23,87.9,synthetic
Brazil,Rio de Janeiro,BRA,2023,10,2023-10-01,BRL,170.97,11.82,33.68,100.7,synthetic
Brazil,Rio de Janeiro,BRA,2023,11,2023-11-01,BRL,121.71,11.95,44.01,85.1,synthetic
Brazil,Rio de Janeiro,BRA,2023,12,2023-12-01,BRL,198.12,11.94,38.86,113.7,synthetic
Brazil,Rio de Janeiro,BRA,2024,1,2024-01-01,BRL,139.62,12.14,37.9,90.3,synthetic
Brazil,Rio de Janeiro,BRA,2024,2,2024-02-01,BRL,158.45,12.94,38.54,99.4,synthetic
Brazil,Rio de Janeiro,BRA,2024,3,2024-03-01,BRL,168.08,11.85,40.0,102.0,synthetic
Brazil,Rio de Janeiro,BRA,2024,4,2024-04-01,BRL,180.34,11.64,35.3,104.8,synthetic
Brazil,Rio de Janeiro,BRA,2024,5,2024-05-01,BRL,176.6,12.22,41.33,106.5,synthetic
Brazil,Rio de Janeiro,BRA,2024,6,2024-06-01,BRL,184.68,13.44,37.98,110.5,synthetic
Brazil,Rio de Janeiro,BRA,2024,7,2024-07-01,BRL,195.41,13.52,36.68,114.4,synthetic
Brazil,Rio de Janeiro,BRA,2024,8,2024-08-01,BRL,177.04,12.02,38.83,105.4,synthetic
Brazil,Rio de Janeiro,BRA,2024,9,2024-09-01,BRL,139.56,12.83,36.22,90.8,synthetic
Brazil,Rio de Janeiro,BRA,2024,10,2024-10-01,BRL,174.2,10.58,35.56,100.7,synthetic
Brazil,Rio de Janeiro,BRA,2024,11,2024-11-01,BRL,138.02,11.74,38.29,89.1,synthetic
Brazil,Rio de Janeiro,BRA,2024,12,2024-12-01,BRL,188.71,12.17,37.22,109.7,synthetic
Brazil,Rio de Janeiro,BRA,2025,1,2025-01-01,BRL,162.14,11.61,39.5,99.0,synthetic
Brazil,Rio de Janeiro,BRA,2025,2,2025-02-01,BRL,168.0,12.64,39.1,102.9,synthetic
Brazil,Rio de Janeiro,BRA,2025,3,2025-03-01,BRL,163.33,13.87,37.41,102.5,synthetic
Brazil,Rio de Janeiro,BRA,2025,4,2025-04-01,BRL,155.63,11.8,34.92,95.0,synthetic
Brazil,Rio de Janeiro,BRA,2025,5,2025-05-01,BRL,143.66,11.7,37.45,91.0,synthetic
Brazil,Rio de Janeiro,BRA,2025,6,2025-06-01,BRL,196.58,12.4,35.62,112.6,synthetic
Argentina,Buenos Aires,ARG,2023,1,2023-01-01,ARS,220.9,20.52,40.33,137.7,synthetic
Argentina,Buenos Aires,ARG,2023,2,2023-02-01,ARS,210.47,20.61,42.05,134.3,synthetic
Argentina,Buenos Aires,ARG,2023,3,2023-03-01,ARS,214.83,18.52,49.08,135.2,synthetic
Argentina,Buenos Aires,ARG,2023,4,2023-04-01,ARS,232.75,19.98,46.02,143.7,synthetic
Argentina,Buenos Aires,ARG,2023,5,2023-05-01,ARS,170.82,18.88,43.96,116.3,synthetic
Argentina,Buenos Aires,ARG,2023,6,2023-06-01,ARS,232.16,21.16,51.15,147.3,synthetic
Argentina,Buenos Aires,ARG,2023,7,2023-07-01,ARS,230.04,19.27,45.62,141.2,synthetic
Argentina,Buenos Aires,ARG,2023,8,2023-08-01,ARS,286.68,18.8,45.66,163.1,synthetic
Argentina,Buenos Aires,ARG,2023,9,2023-09-01,ARS,242.45,18.28,40.85,142.8,synthetic
Argentina,Buenos Aires,ARG,2023,10,2023-10-01,ARS,204.45,19.66,47.43,132.3,synthetic
Argentina,Buenos Aires,ARG,2023,11,2023-11-01,ARS,215.71,18.13,46.5,133.9,synthetic
Argentina,Buenos Aires,ARG,2023,12,2023-12-01,ARS,242.21,21.84,42.91,149.4,synthetic
Argentina,Buenos Aires,ARG,2024,1,2024-01-01,ARS,200.84,20.95,47.27,133.0,synthetic
Argentina,Buenos Aires,ARG,2024,2,2024-02-01,ARS,219.21,18.24,46.57,135.5,synthetic
Argentina,Buenos Aires,ARG,2024,3,2024-03-01,ARS,194.11,20.58,40.41,127.1,synthetic
Argentina,Buenos Aires,ARG,2024,4,2024-04-01,ARS,219.18,19.31,40.85,135.2,synthetic
Argentina,Buenos Aires,ARG,2024,5,2024-05-01,ARS,223.71,20.58,42.95,139.9,synthetic
Argentina,Buenos Aires,ARG,2024,6,2024-06-01,ARS,283.43,19.75,44.98,163.2,synthetic
Argentina,Buenos Aires,ARG,2024,7,2024-07-01,ARS,259.41,19.54,46.36,153.7,synthetic
Argentina,Buenos Aires,ARG,2024,8,2024-08-01,ARS,243.11,19.79,49.16,148.7,synthetic
Argentina,Buenos Aires,ARG,2024,9,2024-09-01,ARS,194.0,17.35,49.94,125.2,synthetic
Argentina,Buenos Aires,ARG,2024,10,2024-10-01,ARS,254.78,19.8,38.79,149.5,synthetic
Argentina,Buenos Aires,ARG,2024,11,2024-11-01,ARS,206.36,19.94,44.28,132.4,synthetic
Argentina,Buenos Aires,ARG,2024,12,2024-12-01,ARS,231.33,21.0,46.53,145.0,synthetic
Argentina,Buenos Aires,ARG,2025,1,2025-01-01,ARS,186.32,21.14,51.33,129.0,synthetic
Argentina,Buenos Aires,ARG,2025,2,2025-02-01,ARS,214.53,19.88,44.43,135.6,synthetic
Argentina,Buenos Aires,ARG,2025,3,2025-03-01,ARS,222.04,18.18,45.39,136.1,synthetic
Argentina,Buenos Aires,ARG,2025,4,2025-04-01,ARS,205.01,22.54,44.33,136.2,synthetic
Argentina,Buenos Aires,ARG,2025,5,2025-05-01,ARS,239.86,18.95,46.72,145.0,synthetic
Argentina,Buenos Aires,ARG,2025,6,2025-06-01,ARS,260.43,19.23,45.44,153.3,synthetic
UK,London,GBR,2023,1,2023-01-01,GBP,195.6,13.12,18.28,107.0,synthetic
UK,London,GBR,2023,2,2023-02-01,GBP,182.06,12.1,19.01,100.1,synthetic
UK,London,GBR,2023,3,2023-03-01,GBP,202.01,11.33,19.4,107.0,synthetic
UK,London,GBR,2023,4,2023-04-01,GBP,215.42,12.82,16.69,113.8,synthetic
UK,London,GBR,2023,5,2023-05-01,GBP,224.92,13.67,21.45,120.8,synthetic
UK,London,GBR,2023,6,2023-06-01,GBP,261.49,13.71,18.17,134.3,synthetic
UK,London,GBR,2023,7,2023-07-01,GBP,269.52,13.9,20.0,138.5,synthetic
UK,London,GBR,2023,8,2023-08-01,GBP,242.44,13.04,17.77,125.4,synthetic
UK,London,GBR,2023,9,2023-09-01,GBP,224.16,14.6,17.8,120.7,synthetic
UK,London,GBR,2023,10,2023-10-01,GBP,203.66,13.65,18.07,111.0,synthetic
UK,London,GBR,2023,11,2023-11-01,GBP,226.88,11.58,17.32,116.6,synthetic
UK,London,GBR,2023,12,2023-12-01,GBP,237.15,11.53,17.15,120.5,synthetic
UK,London,GBR,2024,1,2024-01-01,GBP,195.39,13.23,19.82,107.6,synthetic
UK,London,GBR,2024,2,2024-02-01,GBP,206.69,12.57,18.31,110.5,synthetic
UK,London,GBR,2024,3,2024-03-01,GBP,228.52,12.61,17.22,118.9,synthetic
UK,London,GBR,2024,4,2024-04-01,GBP,220.24,13.22,19.22,117.3,synthetic
UK,London,GBR,2024,5,2024-05-01,GBP,210.59,13.96,17.06,113.9,synthetic
UK,London,GBR,2024,6,2024-06-01,GBP,252.74,13.22,16.82,129.4,synthetic
UK,London,GBR,2024,7,2024-07-01,GBP,221.35,13.94,17.94,118.5,synthetic
UK,London,GBR,2024,8,2024-08-01,GBP,232.3,13.32,19.84,122.6,synthetic
UK,London,GBR,2024,9,2024-09-01,GBP,172.36,12.19,17.2,95.7,synthetic
UK,London,GBR,2024,10,2024-10-01,GBP,235.47,13.62,19.38,124.2,synthetic
UK,London,GBR,2024,11,2024-11-01,GBP,191.59,12.49,18.96,104.6,synthetic
UK,London,GBR,2024,12,2024-12-01,GBP,254.17,13.83,18.15,131.5,synthetic
UK,London,GBR,2025,1,2025-01-01,GBP,215.52,13.52,19.39,116.0,synthetic
UK,London,GBR,2025,2,2025-02-01,GBP,224.44,12.09,15.5,115.7,synthetic
UK,London,GBR,2025,3,2025-03-01,GBP,227.72,14.35,17.07,121.4,synthetic
UK,London,GBR,2025,4,2025-04-01,GBP,179.46,13.47,19.59,101.6,synthetic
UK,London,GBR,2025,5,2025-05-01,GBP,241.14,13.81,17.91,126.2,synthetic
UK,London,GBR,2025,6,2025-06-01,GBP,234.91,13.4,18.0,123.1,synthetic
Ireland,Dublin,IRL,2023,1,2023-01-01,EUR,74.79,21.59,59.95,88.4,synthetic
Ireland,Dublin,IRL,2023,2,2023-02-01,EUR,83.6,22.08,59.93,92.7,synthetic
Ireland,Dublin,IRL,2023,3,2023-03-01,EUR,85.52,21.32,58.75,91.8,synthetic
Ireland,Dublin,IRL,2023,4,2023-04-01,EUR,69.22,20.64,55.14,82.8,synthetic
Ireland,Dublin,IRL,2023,5,2023-05-01,EUR,72.47,22.61,64.32,90.8,synthetic
Ireland,Dublin,IRL,2023,6,2023-06-01,EUR,107.42,20.85,62.8,101.3,synthetic
Ireland,Dublin,IRL,2023,7,2023-07-01,EUR,96.98,20.79,52.98,93.3,synthetic
Ireland,Dublin,IRL,2023,8,2023-08-01,EUR,99.97,20.61,52.14,93.9,synthetic
Ireland,Dublin,IRL,2023,9,2023-09-01,EUR,80.41,20.44,64.6,90.5,synthetic
Ireland,Dublin,IRL,2023,10,2023-10-01,EUR,86.52,20.55,58.38,90.7,synthetic
Ireland,Dublin,IRL,2023,11,2023-11-01,EUR,81.03,20.29,53.03,86.1,synthetic
Ireland,Dublin,IRL,2023,12,2023-12-01,EUR,95.72,19.62,52.36,90.6,synthetic
Ireland,Dublin,IRL,2024,1,2024-01-01,EUR,84.04,21.02,50.2,87.5,synthetic
Ireland,Dublin,IRL,2024,2,2024-02-01,EUR,79.95,21.76,61.63,91.4,synthetic
Ireland,Dublin,IRL,2024,3,2024-03-01,EUR,87.37,20.58,53.98,89.5,synthetic
Ireland,Dublin,IRL,2024,4,2024-04-01,EUR,73.74,20.96,58.9,86.5,synthetic
Ireland,Dublin,IRL,2024,5,2024-05-01,EUR,89.06,21.89,56.85,93.4,synthetic
Ireland,Dublin,IRL,2024,6,2024-06-01,EUR,87.24,20.14,58.25,90.3,synthetic
Ireland,Dublin,IRL,2024,7,2024-07-01,EUR,95.32,19.82,58.39,93.1,synthetic
Ireland,Dublin,IRL,2024,8,2024-08-01,EUR,92.98,19.76,58.63,92.1,synthetic
Ireland,Dublin,IRL,2024,9,2024-09-01,EUR,78.14,20.84,58.47,87.9,synthetic
Ireland,Dublin,IRL,2024,10,2024-10-01,EUR,73.38,19.94,63.15,86.3,synthetic
Ireland,Dublin,IRL,2024,11,2024-11-01,EUR,73.23,17.93,49.9,77.9,synthetic
Ireland,Dublin,IRL,2024,12,2024-12-01,EUR,97.11,20.57,56.9,94.5,synthetic
Ireland,Dublin,IRL,2025,1,2025-01-01,EUR,88.58,17.24,58.97,86.3,synthetic
Ireland,Dublin,IRL,2025,2,2025-02-01,EUR,90.83,19.15,55.85,89.2,synthetic
Ireland,Dublin,IRL,2025,3,2025-03-01,EUR,75.88,19.43,56.07,83.8,synthetic
Ireland,Dublin,IRL,2025,4,2025-04-01,EUR,89.96,22.8,56.03,95.0,synthetic
Ireland,Dublin,IRL,2025,5,2025-05-01,EUR,93.05,20.58,64.42,95.7,synthetic
Ireland,Dublin,IRL,2025,6,2025-06-01,EUR,96.17,20.7,58.84,95.0,synthetic
France,Paris,FRA,2023,1,2023-01-01,EUR,278.66,17.36,32.74,152.7,synthetic
France,Paris,FRA,2023,2,2023-02-01,EUR,287.68,18.19,30.81,156.9,synthetic
France,Paris,FRA,2023,3,2023-03-01,EUR,294.69,18.34,26.61,158.4,synthetic
France,Paris,FRA,2023,4,2023-04-01,EUR,302.26,16.83,27.68,159.3,synthetic
France,Paris,FRA,2023,5,2023-05-01,EUR,285.62,17.98,29.29,155.2,synthetic
France,Paris,FRA,2023,6,2023-06-01,EUR,367.25,16.45,29.91,185.5,synthetic
