country,city,platform,year,month,date,avg_rating,rating_count,rating_stddev,recent_review_share_90d,sentiment_score,source
USA,New York,Tripadvisor,2024,2,2024-02-01,4.22,2943,0.51,0.47,0.6,synthetic
USA,New York,Booking,2024,2,2024-02-01,4.38,2111,0.6,0.38,0.72,synthetic
USA,New York,Google,2024,3,2024-03-01,4.35,2180,0.61,0.42,0.64,synthetic
USA,New York,Tripadvisor,2024,3,2024-03-01,4.32,2254,0.63,0.31,0.62,synthetic
USA,New York,Booking,2024,3,2024-03-01,4.27,2355,0.58,0.46,0.68,synthetic
USA,New York,Google,2024,4,2024-04-01,4.3,2103,0.48,0.5,0.6,synthetic
USA,New York,Tripadvisor,2024,4,2024-04-01,4.29,2415,0.55,0.2,0.61,synthetic
USA,New York,Booking,2024,4,2024-04-01,4.25,2118,0.8,0.3,0.6,synthetic
USA,New York,Google,2024,5,2024-05-01,4.29,2501,0.55,0.39,0.58,synthetic
USA,New York,Tripadvisor,2024,5,2024-05-01,4.35,2313,0.59,0.23,0.62,synthetic
USA,New York,Booking,2024,5,2024-05-01,4.18,2103,0.69,0.2,0.51,synthetic
USA,New York,Google,2024,6,2024-06-01,4.23,2208,0.55,0.29,0.67,synthetic
USA,New York,Tripadvisor,2024,6,2024-06-01,4.36,2872,0.36,0.21,0.71,synthetic
USA,New York,Booking,2024,6,2024-06-01,4.26,2554,0.63,0.46,0.68,synthetic
USA,New York,Google,2024,7,2024-07-01,4.35,2201,0.59,0.27,0.6,synthetic
USA,New York,Tripadvisor,2024,7,2024-07-01,4.37,2522,0.55,0.43,0.65,synthetic
USA,New York,Booking,2024,7,2024-07-01,4.17,2595,0.41,0.28,0.6,synthetic
USA,New York,Google,2024,8,2024-08-01,4.31,2551,0.69,0.35,0.61,synthetic
USA,New York,Tripadvisor,2024,8,2024-08-01,4.3,1897,0.83,0.16,0.63,synthetic
USA,New York,Booking,2024,8,2024-08-01,4.21,2112,0.6,0.25,0.66,synthetic
USA,New York,Google,2024,9,2024-09-01,4.3,2186,0.58,0.42,0.69,synthetic
USA,New York,Tripadvisor,2024,9,2024-09-01,4.22,2126,0.67,0.34,0.56,synthetic
USA,New York,Booking,2024,9,2024-09-01,4.33,2067,0.8,0.35,0.61,synthetic
USA,New York,Google,2024,10,2024-10-01,4.25,2163,0.62,0.28,0.57,synthetic
USA,New York,Tripadvisor,2024,10,2024-10-01,4.2,2468,0.64,0.31,0.61,synthetic
USA,New York,Booking,2024,10,2024-10-01,4.25,2366,0.98,0.42,0.61,synthetic
USA,New York,Google,2024,11,2024-11-01,4.25,1520,0.76,0.38,0.6,synthetic
USA,New York,Tripadvisor,2024,11,2024-11-01,4.2,1994,0.67,0.29,0.63,synthetic
USA,New York,Booking,2024,11,2024-11-01,4.29,2584,0.66,0.38,0.54,synthetic
USA,New York,Google,2024,12,2024-12-01,4.21,2214,0.76,0.49,0.6,synthetic
USA,New York,Tripadvisor,2024,12,2024-12-01,4.25,1772,0.73,0.24,0.77,synthetic
USA,New York,Booking,2024,12,2024-12-01,4.24,2900,0.71,0.2,0.63,synthetic
USA,New York,Google,2025,1,2025-01-01,4.33,2419,0.73,0.38,0.7,synthetic
USA,New York,Tripadvisor,2025,1,2025-01-01,4.28,2136,0.59,0.32,0.55,synthetic
USA,New York,Booking,2025,1,2025-01-01,4.29,2458,0.41,0.27,0.63,synthetic
USA,New York,Google,2025,2,2025-02-01,4.4,2552,0.76,0.29,0.61,synthetic
USA,New York,Tripadvisor,2025,2,2025-02-01,4.32,2290,0.55,0.19,0.67,synthetic
USA,New York,Booking,2025,2,2025-02-01,4.35,2765,0.84,0.47,0.57,synthetic
USA,New York,Google,2025,3,2025-03-01,4.21,1947,0.69,0.23,0.58,synthetic
USA,New York,Tripadvisor,2025,3,2025-03-01,4.27,2601,0.38,0.17,0.64,synthetic
USA,New York,Booking,2025,3,2025-03-01,4.36,2479,0.48,0.09,0.73,synthetic
USA,New York,Google,2025,4,2025-04-01,4.24,2144,0.34,0.16,0.57,synthetic
USA,New York,Tripadvisor,2025,4,2025-04-01,4.27,2126,0.63,0.28,0.75,synthetic
USA,New York,Booking,2025,4,2025-04-01,4.18,2535,0.63,0.2,0.6,synthetic
USA,New York,Google,2025,5,2025-05-01,4.33,2515,0.81,0.08,0.62,synthetic
USA,New York,Tripadvisor,2025,5,2025-05-01,4.37,2759,0.68,0.42,0.59,synthetic
USA,New York,Booking,2025,5,2025-05-01,4.33,2804,0.5,0.56,0.68,synthetic
USA,New York,Google,2025,6,2025-06-01,4.15,2600,0.49,0.42,0.6,synthetic
USA,New York,Tripadvisor,2025,6,2025-06-01,4.25,2935,0.74,0.22,0.62,synthetic
USA,New York,Booking,2025,6,2025-06-01,4.32,2378,0.55,0.3,0.6,synthetic
USA,San Francisco,Google,2023,1,2023-01-01,4.08,48222,0.45,0.12,0.46,synthetic
USA,San Francisco,Tripadvisor,2023,1,2023-01-01,4.09,61649,0.56,0.17,0.51,synthetic
USA,San Francisco,Booking,2023,1,2023-01-01,4.08,62943,0.72,0.4,0.53,synthetic
USA,San Francisco,Google,2023,2,2023-02-01,3.95,57587,0.59,0.22,0.42,synthetic
USA,San Francisco,Tripadvisor,2023,2,2023-02-01,4.07,81810,0.53,0.3,0.47,synthetic
USA,San Francisco,Booking,2023,2,2023-02-01,4.14,69987,0.72,0.44,0.55,synthetic
USA,San Francisco,Google,2023,3,2023-03-01,4.04,76335,0.69,0.08,0.54,synthetic
USA,San Francisco,Tripadvisor,2023,3,2023-03-01,4.03,70165,0.66,0.13,0.53,synthetic
USA,San Francisco,Booking,2023,3,2023-03-01,4.07,66101,0.69,0.45,0.56,synthetic
USA,San Francisco,Google,2023,4,2023-04-01,4.06,72064,0.94,0.39,0.54,synthetic
USA,San Francisco,Tripadvisor,2023,4,2023-04-01,4.09,65285,0.6,0.52,0.51,synthetic
USA,San Francisco,Booking,2023,4,2023-04-01,4.13,62382,0.38,0.28,0.54,synthetic
USA,San Francisco,Google,2023,5,2023-05-01,4.1,64032,0.45,0.45,0.6,synthetic
USA,San Francisco,Tripadvisor,2023,5,2023-05-01,4.16,65140,0.59,0.37,0.55,synthetic
USA,San Francisco,Booking,2023,5,2023-05-01,4.07,62003,0.38,0.31,0.51,synthetic
USA,San Francisco,Google,2023,6,2023-06-01,4.05,66104,0.79,0.22,0.51,synthetic
USA,San Francisco,Tripadvisor,2023,6,2023-06-01,4.02,57029,0.51,0.28,0.54,synthetic
USA,San Francisco,Booking,2023,6,2023-06-01,4.08,55306,0.79,0.39,0.5,synthetic
USA,San Francisco,Google,2023,7,2023-07-01,4.14,65823,0.58,0.34,0.57,synthetic
USA,San Francisco,Tripadvisor,2023,7,2023-07-01,4.09,64762,0.55,0.1,0.57,synthetic
USA,San Francisco,Booking,2023,7,2023-07-01,4.04,69251,0.67,0.27,0.57,synthetic
USA,San Francisco,Google,2023,8,2023-08-01,4.07,64582,0.58,0.47,0.5,synthetic
USA,San Francisco,Tripadvisor,2023,8,2023-08-01,4.04,53934,0.71,0.24,0.5,synthetic
USA,San Francisco,Booking,2023,8,2023-08-01,4.03,63815,0.41,0.08,0.54,synthetic
USA,San Francisco,Google,2023,9,2023-09-01,3.94,69831,0.83,0.28,0.53,synthetic
USA,San Francisco,Tripadvisor,2023,9,2023-09-01,4.06,75494,0.53,0.06,0.53,synthetic
USA,San Francisco,Booking,2023,9,2023-09-01,4.16,67405,0.52,0.33,0.63,synthetic
USA,San Francisco,Google,2023,10,2023-10-01,4.06,83301,0.52,0.4,0.57,synthetic
USA,San Francisco,Tripadvisor,2023,10,2023-10-01,4.02,60112,0.75,0.31,0.53,synthetic
USA,San Francisco,Booking,2023,10,2023-10-01,3.96,68325,0.64,0.29,0.5,synthetic
USA,San Francisco,Google,2023,11,2023-11-01,4.04,58840,0.56,0.25,0.63,synthetic
USA,San Francisco,Tripadvisor,2023,11,2023-11-01,4.12,55977,0.91,0.26,0.56,synthetic
USA,San Francisco,Booking,2023,11,2023-11-01,4.12,48365,0.56,0.24,0.57,synthetic
USA,San Francisco,Google,2023,12,2023-12-01,4.08,62751,0.58,0.41,0.56,synthetic
USA,San Francisco,Tripadvisor,2023,12,2023-12-01,4.06,64462,0.88,0.32,0.51,synthetic
USA,San Francisco,Booking,2023,12,2023-12-01,3.95,52440,0.53,0.29,0.45,synthetic
USA,San Francisco,Google,2024,1,2024-01-01,4.08,63739,0.46,0.36,0.61,synthetic
USA,San Francisco,Tripadvisor,2024,1,2024-01-01,4.0,70406,0.31,0.15,0.47,synthetic
USA,San Francisco,Booking,2024,1,2024-01-01,4.13,62013,0.48,0.3,0.57,synthetic
USA,San Francisco,Google,2024,2,2024-02-01,4.01,84710,0.56,0.31,0.49,synthetic
USA,San Francisco,Tripadvisor,2024,2,2024-02-01,4.09,78543,0.85,0.22,0.6,synthetic
USA,San Francisco,Booking,2024,2,2024-02-01,4.1,76405,0.59,0.28,0.59,synthetic
USA,San Francisco,Google,2024,3,2024-03-01,4.12,81258,0.63,0.29,0.44,synthetic
USA,San Francisco,Tripadvisor,2024,3,2024-03-01,3.97,65169,0.43,0.38,0.42,synthetic
USA,San Francisco,Booking,2024,3,2024-03-01,4.03,64613,0.78,0.24,0.54,synthetic
USA,San Francisco,Google,2024,4,2024-04-01,4.07,75820,0.73,0.3,0.45,synthetic
USA,San Francisco,Tripadvisor,2024,4,2024-04-01,4.05,68242,0.64,0.23,0.58,synthetic
USA,San Francisco,Booking,2024,4,2024-04-01,4.06,60850,0.53,0.49,0.56,synthetic
USA,San Francisco,Google,2024,5,2024-05-01,4.12,59856,0.5,0.23,0.57,synthetic
USA,San Francisco,Tripadvisor,2024,5,2024-05-01,4.05,64387,0.55,0.22,0.52,synthetic
USA,San Francisco,Booking,2024,5,2024-05-01,4.13,55985,0.65,0.44,0.56,synthetic
USA,San Francisco,Google,2024,6,2024-06-01,4.03,75992,0.45,0.3,0.46,synthetic
USA,San Francisco,Tripadvisor,2024,6,2024-06-01,3.95,67158,0.41,0.3,0.53,synthetic
USA,San Francisco,Booking,2024,6,2024-06-01,4.17,69173,0.75,0.34,0.57,synthetic
USA,San Francisco,Google,2024,7,2024-07-01,3.95,81757,0.44,0.44,0.5,synthetic
USA,San Francisco,Tripadvisor,2024,7,2024-07-01,4.0,70967,0.92,0.45,0.48,synthetic
USA,San Francisco,Booking,2024,7,2024-07-01,4.02,69228,0.58,0.42,0.55,synthetic
USA,San Francisco,Google,2024,8,2024-08-01,3.96,72171,0.57,0.3,0.49,synthetic
USA,San Francisco,Tripadvisor,2024,8,2024-08-01,4.13,76432,0.49,0.29,0.54,synthetic
USA,San Francisco,Booking,2024,8,2024-08-01,3.96,67508,0.88,0.13,0.48,synthetic
USA,San Francisco,Google,2024,9,2024-09-01,4.06,70768,0.46,0.16,0.46,synthetic
USA,San Francisco,Tripadvisor,2024,9,2024-09-01,4.14,60339,0.53,0.51,0.53,synthetic
USA,San Francisco,Booking,2024,9,2024-09-01,4.08,77138,0.75,0.17,0.51,synthetic
USA,San Francisco,Google,2024,10,2024-10-01,4.08,84240,0.49,0.25,0.56,synthetic
USA,San Francisco,Tripadvisor,2024,10,2024-10-01,4.1,73990,0.47,0.25,0.56,synthetic
USA,San Francisco,Booking,2024,10,2024-10-01,4.14,66448,0.6,0.2,0.66,synthetic
USA,San Francisco,Google,2024,11,2024-11-01,4.07,77253,0.6,0.31,0.46,synthetic
USA,San Francisco,Tripadvisor,2024,11,2024-11-01,3.93,78682,0.61,0.32,0.4,synthetic
USA,San Francisco,Booking,2024,11,2024-11-01,4.01,77126,0.86,0.24,0.54,synthetic
USA,San Francisco,Google,2024,12,2024-12-01,4.07,67416,0.88,0.25,0.6,synthetic
USA,San Francisco,Tripadvisor,2024,12,2024-12-01,4.08,68267,0.81,0.33,0.54,synthetic
USA,San Francisco,Booking,2024,12,2024-12-01,4.14,78660,0.78,0.05,0.59,synthetic
USA,San Francisco,Google,2025,1,2025-01-01,4.07,73165,0.69,0.33,0.57,synthetic
USA,San Francisco,Tripadvisor,2025,1,2025-01-01,4.05,86682,0.72,0.35,0.55,synthetic
USA,San Francisco,Booking,2025,1,2025-01-01,4.13,82481,0.58,0.4,0.57,synthetic
USA,San Francisco,Google,2025,2,2025-02-01,4.18,83151,0.51,0.53,0.48,synthetic
USA,San Francisco,Tripadvisor,2025,2,2025-02-01,4.1,67334,0.88,0.33,0.51,synthetic
USA,San Francisco,Booking,2025,2,2025-02-01,4.05,67178,0.55,0.27,0.49,synthetic
USA,San Francisco,Google,2025,3,2025-03-01,4.08,76922,0.45,0.13,0.55,synthetic
USA,San Francisco,Tripadvisor,2025,3,2025-03-01,4.09,79911,0.68,0.46,0.6,synthetic
USA,San Francisco,Booking,2025,3,2025-03-01,4.22,100810,0.34,0.08,0.61,synthetic
USA,San Francisco,Google,2025,4,2025-04-01,4.09,72804,0.71,0.27,0.51,synthetic
USA,San Francisco,Tripadvisor,2025,4,2025-04-01,4.03,71708,0.73,0.25,0.5,synthetic
USA,San Francisco,Booking,2025,4,2025-04-01,4.1,71720,0.77,0.21,0.49,synthetic
USA,San Francisco,Google,2025,5,2025-05-01,4.08,77037,0.47,0.43,0.64,synthetic
USA,San Francisco,Tripadvisor,2025,5,2025-05-01,4.02,86586,0.24,0.41,0.47,synthetic
USA,San Francisco,Booking,2025,5,2025-05-01,4.12,64997,0.59,0.22,0.55,synthetic
USA,San Francisco,Google,2025,6,2025-06-01,4.17,72521,0.92,0.26,0.66,synthetic
USA,San Francisco,Tripadvisor,2025,6,2025-06-01,3.96,70947,0.52,0.45,0.49,synthetic
USA,San Francisco,Booking,2025,6,2025-06-01,3.94,61922,0.45,0.39,0.51,synthetic
Canada,Toronto,Google,2023,1,2023-01-01,4.15,55750,0.67,0.34,0.56,synthetic
Canada,Toronto,Tripadvisor,2023,1,2023-01-01,4.13,65282,0.67,0.17,0.6,synthetic
Canada,Toronto,Booking,2023,1,2023-01-01,4.17,66975,0.69,0.29,0.63,synthetic
Canada,Toronto,Google,2023,2,2023-02-01,4.11,55608,0.72,0.14,0.57,synthetic
Canada,Toronto,Tripadvisor,2023,2,2023-02-01,4.09,61023,0.63,0.23,0.57,synthetic
Canada,Toronto,Booking,2023,2,2023-02-01,4.11,59714,0.8,0.32,0.59,synthetic
Canada,Toronto,Google,2023,3,2023-03-01,4.19,75328,0.69,0.27,0.53,synthetic
Canada,Toronto,Tripadvisor,2023,3,2023-03-01,4.12,72963,0.65,0.05,0.6,synthetic
Canada,Toronto,Booking,2023,3,2023-03-01,4.16,62160,0.75,0.36,0.55,synthetic
Canada,Toronto,Google,2023,4,2023-04-01,4.19,54682,0.59,0.28,0.55,synthetic
Canada,Toronto,Tripadvisor,2023,4,2023-04-01,4.13,74632,0.79,0.37,0.48,synthetic
Canada,Toronto,Booking,2023,4,2023-04-01,4.03,65777,0.59,0.25,0.61,synthetic
Canada,Toronto,Google,2023,5,2023-05-01,4.12,68689,0.75,0.31,0.69,synthetic
Canada,Toronto,Tripadvisor,2023,5,2023-05-01,4.05,59801,0.46,0.46,0.57,synthetic
Canada,Toronto,Booking,2023,5,2023-05-01,4.08,57806,0.81,0.34,0.61,synthetic
Canada,Toronto,Google,2023,6,2023-06-01,4.11,68450,0.65,0.24,0.55,synthetic
Canada,Toronto,Tripadvisor,2023,6,2023-06-01,4.04,68315,0.71,0.4,0.55,synthetic
Canada,Toronto,Booking,2023,6,2023-06-01,4.1,76502,0.73,0.44,0.62,synthetic
Canada,Toronto,Google,2023,7,2023-07-01,4.1,67493,0.72,0.19,0.49,synthetic
Canada,Toronto,Tripadvisor,2023,7,2023-07-01,4.03,63655,0.55,0.16,0.52,synthetic
Canada,Toronto,Booking,2023,7,2023-07-01,4.1,73641,0.9,0.35,0.52,synthetic
Canada,Toronto,Google,2023,8,2023-08-01,4.15,64563,0.56,0.21,0.55,synthetic
Canada,Toronto,Tripadvisor,2023,8,2023-08-01,4.1,70714,0.68,0.48,0.58,synthetic
Canada,Toronto,Booking,2023,8,2023-08-01,4.13,62122,0.44,0.24,0.53,synthetic
Canada,Toronto,Google,2023,9,2023-09-01,3.96,56686,0.84,0.34,0.46,synthetic
Canada,Toronto,Tripadvisor,2023,9,2023-09-01,4.13,49374,0.64,0.43,0.56,synthetic
Canada,Toronto,Booking,2023,9,2023-09-01,4.0,61288,0.79,0.33,0.43,synthetic
Canada,Toronto,Google,2023,10,2023-10-01,4.25,54788,0.56,0.2,0.57,synthetic
Canada,Toronto,Tripadvisor,2023,10,2023-10-01,4.08,69415,0.79,0.26,0.49,synthetic
Canada,Toronto,Booking,2023,10,2023-10-01,4.14,68423,0.64,0.33,0.56,synthetic
Canada,Toronto,Google,2023,11,2023-11-01,4.11,63086,0.76,0.52,0.57,synthetic
Canada,Toronto,Tripadvisor,2023,11,2023-11-01,4.11,66472,0.5,0.38,0.58,synthetic
Canada,Toronto,Booking,2023,11,2023-11-01,4.08,71473,0.6,0.2,0.56,synthetic
Canada,Toronto,Google,2023,12,2023-12-01,4.12,71924,0.72,0.29,0.54,synthetic
Canada,Toronto,Tripadvisor,2023,12,2023-12-01,4.11,67303,0.67,0.33,0.55,synthetic
Canada,Toronto,Booking,2023,12,2023-12-01,4.17,59273,0.97,0.38,0.53,synthetic
Canada,Toronto,Google,2024,1,2024-01-01,4.12,76109,0.55,0.15,0.51,synthetic
Canada,Toronto,Tripadvisor,2024,1,2024-01-01,4.14,54985,0.38,0.35,0.56,synthetic
Canada,Toronto,Booking,2024,1,2024-01-01,4.07,65516,0.38,0.35,0.49,synthetic
Canada,Toronto,Google,2024,2,2024-02-01,4.08,72549,0.56,0.23,0.44,synthetic
Canada,Toronto,Tripadvisor,2024,2,2024-02-01,4.13,70311,0.52,0.2,0.57,synthetic
Canada,Toronto,Booking,2024,2,2024-02-01,4.14,70468,0.85,0.37,0.56,synthetic
Canada,Toronto,Google,2024,3,2024-03-01,4.15,70058,0.61,0.43,0.53,synthetic
Canada,Toronto,Tripadvisor,2024,3,2024-03-01,4.11,79595,0.65,0.26,0.47,synthetic
Canada,Toronto,Booking,2024,3,2024-03-01,3.97,87004,0.65,0.24,0.5,synthetic
Canada,Toronto,Google,2024,4,2024-04-01,4.05,66883,0.46,0.16,0.42,synthetic
Canada,Toronto,Tripadvisor,2024,4,2024-04-01,4.01,78187,0.45,0.35,0.55,synthetic
Canada,Toronto,Booking,2024,4,2024-04-01,4.11,67155,0.62,0.26,0.62,synthetic
Canada,Toronto,Google,2024,5,2024-05-01,4.22,81769,0.28,0.26,0.61,synthetic
Canada,Toronto,Tripadvisor,2024,5,2024-05-01,4.14,55214,0.34,0.43,0.54,synthetic
Canada,Toronto,Booking,2024,5,2024-05-01,4.02,60426,0.66,0.22,0.52,synthetic
Canada,Toronto,Google,2024,6,2024-06-01,4.05,55073,0.81,0.34,0.51,synthetic
Canada,Toronto,Tripadvisor,2024,6,2024-06-01,4.08,81895,0.69,0.41,0.51,synthetic
Canada,Toronto,Booking,2024,6,2024-06-01,4.11,73013,0.52,0.29,0.53,synthetic
Canada,Toronto,Google,2024,7,2024-07-01,4.13,58606,0.69,0.33,0.56,synthetic
Canada,Toronto,Tripadvisor,2024,7,2024-07-01,4.14,66601,0.5,0.35,0.6,synthetic
Canada,Toronto,Booking,2024,7,2024-07-01,4.08,64694,0.57,0.24,0.62,synthetic
Canada,Toronto,Google,2024,8,2024-08-01,4.13,69773,0.46,0.37,0.53,synthetic
Canada,Toronto,Tripadvisor,2024,8,2024-08-01,4.07,76108,0.66,0.05,0.53,synthetic
Canada,Toronto,Booking,2024,8,2024-08-01,4.12,66812,0.62,0.12,0.42,synthetic
Canada,Toronto,Google,2024,9,2024-09-01,4.05,72010,0.12,0.22,0.43,synthetic
Canada,Toronto,Tripadvisor,2024,9,2024-09-01,4.09,86015,0.57,0.29,0.59,synthetic
Canada,Toronto,Booking,2024,9,2024-09-01,4.11,67854,0.74,0.35,0.57,synthetic
Canada,Toronto,Google,2024,10,2024-10-01,4.1,66758,0.74,0.27,0.61,synthetic
Canada,Toronto,Tripadvisor,2024,10,2024-10-01,4.05,81635,0.67,0.2,0.55,synthetic
Canada,Toronto,Booking,2024,10,2024-10-01,4.07,69930,0.53,0.29,0.58,synthetic
Canada,Toronto,Google,2024,11,2024-11-01,4.14,60245,0.44,0.33,0.59,synthetic
Canada,Toronto,Tripadvisor,2024,11,2024-11-01,4.07,82951,0.72,0.24,0.5,synthetic
Canada,Toronto,Booking,2024,11,2024-11-01,4.1,66877,0.79,0.4,0.55,synthetic
Canada,Toronto,Google,2024,12,2024-12-01,4.15,76529,0.61,0.34,0.6,synthetic
Canada,Toronto,Tripadvisor,2024,12,2024-12-01,4.14,63141,0.5,0.27,0.53,synthetic
Canada,Toronto,Booking,2024,12,2024-12-01,4.02,75301,0.65,0.17,0.5,synthetic
Canada,Toronto,Google,2025,1,2025-01-01,4.1,76444,0.44,0.16,0.57,synthetic
Canada,Toronto,Tripadvisor,2025,1,2025-01-01,4.02,72722,0.55,0.29,0.52,synthetic
Canada,Toronto,Booking,2025,1,2025-01-01,4.2,60451,0.73,0.05,0.67,synthetic
Canada,Toronto,Google,2025,2,2025-02-01,3.99,96682,0.54,0.43,0.55,synthetic
Canada,Toronto,Tripadvisor,2025,2,2025-02-01,4.08,71581,0.47,0.38,0.52,synthetic
Canada,Toronto,Booking,2025,2,2025-02-01,4.06,79634,0.47,0.27,0.54,synthetic
Canada,Toronto,Google,2025,3,2025-03-01,4.07,70397,0.83,0.28,0.52,synthetic
Canada,Toronto,Tripadvisor,2025,3,2025-03-01,4.1,78890,0.44,0.34,0.56,synthetic
Canada,Toronto,Booking,2025,3,2025-03-01,4.0,90918,0.82,0.22,0.44,synthetic
Canada,Toronto,Google,2025,4,2025-04-01,4.12,62010,0.8,0.25,0.64,synthetic
Canada,Toronto,Tripadvisor,2025,4,2025-04-01,4.06,73803,0.79,0.27,0.54,synthetic
Canada,Toronto,Booking,2025,4,2025-04-01,4.17,69818,0.41,0.15,0.62,synthetic
Canada,Toronto,Google,2025,5,2025-05-01,4.13,84341,0.56,0.16,0.45,synthetic
Canada,Toronto,Tripadvisor,2025,5,2025-05-01,4.28,79541,0.62,0.33,0.57,synthetic
Canada,Toronto,Booking,2025,5,2025-05-01,4.06,90461,0.7,0.22,0.47,synthetic
Canada,Toronto,Google,2025,6,2025-06-01,4.08,71979,0.91,0.28,0.48,synthetic
Canada,Toronto,Tripadvisor,2025,6,2025-06-01,4.11,77183,0.41,0.34,0.61,synthetic
Canada,Toronto,Booking,2025,6,2025-06-01,4.12,67655,0.52,0.13,0.55,synthetic
Canada,Vancouver,Google,2023,1,2023-01-01,4.4,102399,0.72,0.12,0.61,synthetic
Canada,Vancouver,Tripadvisor,2023,1,2023-01-01,4.4,98746,0.73,0.46,0.7,synthetic
Canada,Vancouver,Booking,2023,1,2023-01-01,4.44,70630,0.65,0.28,0.71,synthetic
Canada,Vancouver,Google,2023,2,2023-02-01,4.55,81805,0.8,0.14,0.91,synthetic
Canada,Vancouver,Tripadvisor,2023,2,2023-02-01,4.43,90114,0.73,0.25,0.76,synthetic
Canada,Vancouver,Booking,2023,2,2023-02-01,4.51,75956,0.49,0.3,0.75,synthetic
Canada,Vancouver,Google,2023,3,2023-03-01,4.54,90069,0.59,0.36,0.67,synthetic
Canada,Vancouver,Tripadvisor,2023,3,2023-03-01,4.42,85933,0.77,0.32,0.78,synthetic
Canada,Vancouver,Booking,2023,3,2023-03-01,4.51,78197,0.58,0.34,0.73,synthetic
Canada,Vancouver,Google,2023,4,2023-04-01,4.55,72013,0.65,0.37,0.76,synthetic
Canada,Vancouver,Tripadvisor,2023,4,2023-04-01,4.42,82306,0.72,0.25,0.66,synthetic
Canada,Vancouver,Booking,2023,4,2023-04-01,4.52,87045,0.75,0.38,0.87,synthetic
Canada,Vancouver,Google,2023,5,2023-05-01,4.52,75847,0.67,0.24,0.74,synthetic
