country,city,iso3,year,month,date,intl_arrivals,hotel_occupancy_rate_pct,peak_crowding_index,season,events_flag,source
USA,New York,USA,2025,2,2025-02-01,227155,43.0,8.5,Low,False,synthetic
USA,New York,USA,2025,3,2025-03-01,132428,45.0,2.4,Low,False,synthetic
USA,New York,USA,2025,4,2025-04-01,204038,55.9,34.9,Shoulder,False,synthetic
USA,New York,USA,2025,5,2025-05-01,214525,53.1,15.8,Shoulder,False,synthetic
USA,New York,USA,2025,6,2025-06-01,309530,82.0,66.5,High,False,synthetic
USA,San Francisco,USA,2023,1,2023-01-01,242406,47.1,25.7,Low,False,synthetic
USA,San Francisco,USA,2023,2,2023-02-01,190368,60.2,22.4,Low,False,synthetic
USA,San Francisco,USA,2023,3,2023-03-01,299072,45.6,27.4,Low,True,synthetic
USA,San Francisco,USA,2023,4,2023-04-01,363329,76.8,77.4,Shoulder,False,synthetic
USA,San Francisco,USA,2023,5,2023-05-01,355777,70.5,55.5,Shoulder,False,synthetic
USA,San Francisco,USA,2023,6,2023-06-01,370788,93.8,90.1,High,False,synthetic
USA,San Francisco,USA,2023,7,2023-07-01,486445,98.0,100.0,High,False,synthetic
USA,San Francisco,USA,2023,8,2023-08-01,537952,97.5,100.0,High,True,synthetic
USA,San Francisco,USA,2023,9,2023-09-01,345734,63.1,42.2,Shoulder,False,synthetic
USA,San Francisco,USA,2023,10,2023-10-01,379550,65.6,62.9,Shoulder,False,synthetic
USA,San Francisco,USA,2023,11,2023-11-01,242173,48.0,25.0,Low,True,synthetic
USA,San Francisco,USA,2023,12,2023-12-01,397847,98.0,99.2,High,False,synthetic
USA,San Francisco,USA,2024,1,2024-01-01,275567,51.6,31.3,Low,False,synthetic
USA,San Francisco,USA,2024,2,2024-02-01,329450,49.1,39.7,Low,False,synthetic
USA,San Francisco,USA,2024,3,2024-03-01,281814,54.5,39.4,Low,False,synthetic
USA,San Francisco,USA,2024,4,2024-04-01,417057,84.5,81.8,Shoulder,False,synthetic
USA,San Francisco,USA,2024,5,2024-05-01,330919,71.6,67.5,Shoulder,False,synthetic
USA,San Francisco,USA,2024,6,2024-06-01,400876,98.0,100.0,High,False,synthetic
USA,San Francisco,USA,2024,7,2024-07-01,435307,96.7,96.2,High,False,synthetic
USA,San Francisco,USA,2024,8,2024-08-01,342615,98.0,93.5,High,False,synthetic
USA,San Francisco,USA,2024,9,2024-09-01,338088,68.3,59.5,Shoulder,False,synthetic
USA,San Francisco,USA,2024,10,2024-10-01,386690,85.8,89.1,Shoulder,False,synthetic
USA,San Francisco,USA,2024,11,2024-11-01,231142,53.3,26.7,Low,False,synthetic
USA,San Francisco,USA,2024,12,2024-12-01,493833,95.6,100.0,High,False,synthetic
USA,San Francisco,USA,2025,1,2025-01-01,295423,46.3,20.0,Low,False,synthetic
USA,San Francisco,USA,2025,2,2025-02-01,292245,47.6,26.4,Low,False,synthetic
USA,San Francisco,USA,2025,3,2025-03-01,244547,55.0,28.2,Low,False,synthetic
USA,San Francisco,USA,2025,4,2025-04-01,298256,69.8,62.4,Shoulder,False,synthetic
USA,San Francisco,USA,2025,5,2025-05-01,305124,71.8,48.6,Shoulder,False,synthetic
USA,San Francisco,USA,2025,6,2025-06-01,562112,94.6,100.0,High,False,synthetic
Canada,Toronto,CAN,2023,1,2023-01-01,194961,59.5,30.7,Low,False,synthetic
Canada,Toronto,CAN,2023,2,2023-02-01,372506,53.3,47.4,Low,False,synthetic
Canada,Toronto,CAN,2023,3,2023-03-01,281269,59.5,38.5,Low,True,synthetic
Canada,Toronto,CAN,2023,4,2023-04-01,488635,85.0,95.4,Shoulder,True,synthetic
Canada,Toronto,CAN,2023,5,2023-05-01,519525,93.2,100.0,Shoulder,True,synthetic
Canada,Toronto,CAN,2023,6,2023-06-01,716681,98.0,100.0,High,True,synthetic
Canada,Toronto,CAN,2023,7,2023-07-01,751378,98.0,100.0,High,False,synthetic
Canada,Toronto,CAN,2023,8,2023-08-01,676907,98.0,100.0,High,False,synthetic
Canada,Toronto,CAN,2023,9,2023-09-01,463369,79.2,82.0,Shoulder,False,synthetic
Canada,Toronto,CAN,2023,10,2023-10-01,438705,89.7,98.0,Shoulder,False,synthetic
Canada,Toronto,CAN,2023,11,2023-11-01,311933,62.1,46.1,Low,False,synthetic
Canada,Toronto,CAN,2023,12,2023-12-01,665332,98.0,100.0,High,False,synthetic
Canada,Toronto,CAN,2024,1,2024-01-01,360131,59.7,48.5,Low,False,synthetic
Canada,Toronto,CAN,2024,2,2024-02-01,240533,54.5,29.2,Low,True,synthetic
Canada,Toronto,CAN,2024,3,2024-03-01,298848,57.4,37.7,Low,False,synthetic
Canada,Toronto,CAN,2024,4,2024-04-01,441068,95.2,100.0,Shoulder,False,synthetic
Canada,Toronto,CAN,2024,5,2024-05-01,460116,83.5,82.3,Shoulder,False,synthetic
Canada,Toronto,CAN,2024,6,2024-06-01,695954,98.0,100.0,High,False,synthetic
Canada,Toronto,CAN,2024,7,2024-07-01,615045,91.6,100.0,High,False,synthetic
Canada,Toronto,CAN,2024,8,2024-08-01,645252,98.0,100.0,High,False,synthetic
Canada,Toronto,CAN,2024,9,2024-09-01,660139,88.7,100.0,Shoulder,False,synthetic
Canada,Toronto,CAN,2024,10,2024-10-01,425886,84.4,80.6,Shoulder,False,synthetic
Canada,Toronto,CAN,2024,11,2024-11-01,293596,55.4,37.8,Low,False,synthetic
Canada,Toronto,CAN,2024,12,2024-12-01,429613,96.1,92.6,High,False,synthetic
Canada,Toronto,CAN,2025,1,2025-01-01,345647,59.6,51.4,Low,False,synthetic
Canada,Toronto,CAN,2025,2,2025-02-01,377740,61.4,52.5,Low,False,synthetic
Canada,Toronto,CAN,2025,3,2025-03-01,370297,60.3,55.8,Low,False,synthetic
Canada,Toronto,CAN,2025,4,2025-04-01,444628,81.6,88.2,Shoulder,False,synthetic
Canada,Toronto,CAN,2025,5,2025-05-01,363758,93.1,82.3,Shoulder,False,synthetic
Canada,Toronto,CAN,2025,6,2025-06-01,583109,98.0,100.0,High,False,synthetic
Canada,Vancouver,CAN,2023,1,2023-01-01,26501,34.6,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2023,2,2023-02-01,28677,27.7,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2023,3,2023-03-01,19157,35.1,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2023,4,2023-04-01,33007,53.8,6.6,Shoulder,True,synthetic
Canada,Vancouver,CAN,2023,5,2023-05-01,31878,51.2,0.0,Shoulder,False,synthetic
Canada,Vancouver,CAN,2023,6,2023-06-01,39623,73.3,34.8,High,True,synthetic
Canada,Vancouver,CAN,2023,7,2023-07-01,36053,64.6,14.9,High,False,synthetic
Canada,Vancouver,CAN,2023,8,2023-08-01,50480,74.5,28.7,High,True,synthetic
Canada,Vancouver,CAN,2023,9,2023-09-01,32317,53.6,0.0,Shoulder,False,synthetic
Canada,Vancouver,CAN,2023,10,2023-10-01,35091,43.2,0.0,Shoulder,True,synthetic
Canada,Vancouver,CAN,2023,11,2023-11-01,24310,35.4,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2023,12,2023-12-01,44316,63.1,20.3,High,False,synthetic
Canada,Vancouver,CAN,2024,1,2024-01-01,28781,38.1,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2024,2,2024-02-01,21084,35.2,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2024,3,2024-03-01,27229,38.4,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2024,4,2024-04-01,33784,54.1,1.6,Shoulder,False,synthetic
Canada,Vancouver,CAN,2024,5,2024-05-01,32406,53.7,4.6,Shoulder,False,synthetic
Canada,Vancouver,CAN,2024,6,2024-06-01,35602,66.2,23.3,High,False,synthetic
Canada,Vancouver,CAN,2024,7,2024-07-01,46213,67.0,24.8,High,False,synthetic
Canada,Vancouver,CAN,2024,8,2024-08-01,38736,65.8,17.4,High,False,synthetic
Canada,Vancouver,CAN,2024,9,2024-09-01,44509,52.8,4.3,Shoulder,False,synthetic
Canada,Vancouver,CAN,2024,10,2024-10-01,35190,50.2,1.0,Shoulder,False,synthetic
Canada,Vancouver,CAN,2024,11,2024-11-01,24047,34.8,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2024,12,2024-12-01,42993,65.6,21.4,High,False,synthetic
Canada,Vancouver,CAN,2025,1,2025-01-01,25451,37.8,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2025,2,2025-02-01,20937,32.8,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2025,3,2025-03-01,20184,36.1,0.0,Low,False,synthetic
Canada,Vancouver,CAN,2025,4,2025-04-01,36709,49.2,0.0,Shoulder,False,synthetic
Canada,Vancouver,CAN,2025,5,2025-05-01,34765,56.8,9.6,Shoulder,True,synthetic
Canada,Vancouver,CAN,2025,6,2025-06-01,49329,56.9,23.1,High,False,synthetic
Mexico,Mexico City,MEX,2023,1,2023-01-01,298920,37.9,13.3,Low,True,synthetic
Mexico,Mexico City,MEX,2023,2,2023-02-01,329396,35.9,15.1,Low,False,synthetic
Mexico,Mexico City,MEX,2023,3,2023-03-01,275562,33.6,17.9,Low,False,synthetic
Mexico,Mexico City,MEX,2023,4,2023-04-01,468786,53.5,53.9,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2023,5,2023-05-01,520285,48.6,43.4,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2023,6,2023-06-01,597206,62.0,78.2,High,False,synthetic
Mexico,Mexico City,MEX,2023,7,2023-07-01,761621,82.4,100.0,High,False,synthetic
Mexico,Mexico City,MEX,2023,8,2023-08-01,507256,75.5,78.8,High,False,synthetic
Mexico,Mexico City,MEX,2023,9,2023-09-01,457874,53.2,48.0,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2023,10,2023-10-01,422265,63.0,51.2,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2023,11,2023-11-01,283965,38.7,12.4,Low,False,synthetic
Mexico,Mexico City,MEX,2023,12,2023-12-01,697038,80.5,100.0,High,False,synthetic
Mexico,Mexico City,MEX,2024,1,2024-01-01,344313,36.3,13.0,Low,False,synthetic
Mexico,Mexico City,MEX,2024,2,2024-02-01,313062,39.5,9.1,Low,False,synthetic
Mexico,Mexico City,MEX,2024,3,2024-03-01,411246,42.2,28.8,Low,False,synthetic
Mexico,Mexico City,MEX,2024,4,2024-04-01,511662,45.0,50.8,Shoulder,True,synthetic
Mexico,Mexico City,MEX,2024,5,2024-05-01,610130,47.7,62.8,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2024,6,2024-06-01,591343,64.0,78.9,High,False,synthetic
Mexico,Mexico City,MEX,2024,7,2024-07-01,788859,77.7,100.0,High,False,synthetic
Mexico,Mexico City,MEX,2024,8,2024-08-01,494512,80.4,82.0,High,False,synthetic
Mexico,Mexico City,MEX,2024,9,2024-09-01,516346,56.8,58.2,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2024,10,2024-10-01,477537,53.7,55.6,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2024,11,2024-11-01,294930,40.6,17.9,Low,False,synthetic
Mexico,Mexico City,MEX,2024,12,2024-12-01,579880,64.9,84.6,High,False,synthetic
Mexico,Mexico City,MEX,2025,1,2025-01-01,379470,37.5,21.5,Low,False,synthetic
Mexico,Mexico City,MEX,2025,2,2025-02-01,317270,36.8,25.2,Low,False,synthetic
Mexico,Mexico City,MEX,2025,3,2025-03-01,423931,34.4,26.2,Low,False,synthetic
Mexico,Mexico City,MEX,2025,4,2025-04-01,480784,54.1,47.2,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2025,5,2025-05-01,423354,54.9,42.0,Shoulder,False,synthetic
Mexico,Mexico City,MEX,2025,6,2025-06-01,730035,71.7,93.3,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,1,2023-01-01,295579,34.0,7.1,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,2,2023-02-01,321216,41.9,20.6,Low,True,synthetic
Brazil,Rio de Janeiro,BRA,2023,3,2023-03-01,315874,39.8,28.9,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,4,2023-04-01,535356,49.4,60.5,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,5,2023-05-01,585931,56.0,68.8,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,6,2023-06-01,613362,79.9,93.4,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,7,2023-07-01,619505,75.5,90.3,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,8,2023-08-01,551944,74.9,85.3,High,True,synthetic
Brazil,Rio de Janeiro,BRA,2023,9,2023-09-01,501990,57.1,55.7,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,10,2023-10-01,429822,67.1,68.8,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,11,2023-11-01,416613,33.3,8.8,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2023,12,2023-12-01,521951,72.1,79.7,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,1,2024-01-01,293822,40.8,18.5,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,2,2024-02-01,326693,43.9,24.9,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,3,2024-03-01,312310,41.9,21.2,Low,True,synthetic
Brazil,Rio de Janeiro,BRA,2024,4,2024-04-01,554177,55.2,48.3,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,5,2024-05-01,602778,62.1,84.2,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,6,2024-06-01,530432,71.0,78.3,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,7,2024-07-01,820738,86.7,100.0,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,8,2024-08-01,530202,82.6,92.5,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,9,2024-09-01,542702,53.9,59.7,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,10,2024-10-01,588706,56.1,71.9,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,11,2024-11-01,347079,35.7,21.4,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2024,12,2024-12-01,610008,73.5,89.8,High,False,synthetic
Brazil,Rio de Janeiro,BRA,2025,1,2025-01-01,342051,42.1,22.8,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2025,2,2025-02-01,362949,39.2,18.1,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2025,3,2025-03-01,407151,36.2,22.3,Low,False,synthetic
Brazil,Rio de Janeiro,BRA,2025,4,2025-04-01,577643,56.1,60.8,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2025,5,2025-05-01,477485,51.1,43.9,Shoulder,False,synthetic
Brazil,Rio de Janeiro,BRA,2025,6,2025-06-01,552725,81.5,89.4,High,False,synthetic
Argentina,Buenos Aires,ARG,2023,1,2023-01-01,133405,53.9,18.3,Low,False,synthetic
Argentina,Buenos Aires,ARG,2023,2,2023-02-01,172583,51.2,22.1,Low,False,synthetic
Argentina,Buenos Aires,ARG,2023,3,2023-03-01,119130,50.1,10.9,Low,False,synthetic
Argentina,Buenos Aires,ARG,2023,4,2023-04-01,214004,68.8,51.0,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2023,5,2023-05-01,218482,83.2,61.6,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2023,6,2023-06-01,233582,98.0,77.2,High,False,synthetic
Argentina,Buenos Aires,ARG,2023,7,2023-07-01,231264,98.0,81.3,High,False,synthetic
Argentina,Buenos Aires,ARG,2023,8,2023-08-01,356117,96.3,87.6,High,False,synthetic
Argentina,Buenos Aires,ARG,2023,9,2023-09-01,218742,76.2,49.2,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2023,10,2023-10-01,206294,79.0,56.1,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2023,11,2023-11-01,203921,57.0,35.7,Low,False,synthetic
Argentina,Buenos Aires,ARG,2023,12,2023-12-01,367925,98.0,99.1,High,False,synthetic
Argentina,Buenos Aires,ARG,2024,1,2024-01-01,152818,53.6,17.9,Low,False,synthetic
Argentina,Buenos Aires,ARG,2024,2,2024-02-01,140635,52.9,5.8,Low,False,synthetic
Argentina,Buenos Aires,ARG,2024,3,2024-03-01,152458,55.7,29.4,Low,False,synthetic
Argentina,Buenos Aires,ARG,2024,4,2024-04-01,274047,69.2,62.4,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2024,5,2024-05-01,232315,85.6,60.1,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2024,6,2024-06-01,356257,84.9,80.3,High,False,synthetic
Argentina,Buenos Aires,ARG,2024,7,2024-07-01,379315,87.2,90.6,High,False,synthetic
Argentina,Buenos Aires,ARG,2024,8,2024-08-01,273187,90.1,70.0,High,False,synthetic
Argentina,Buenos Aires,ARG,2024,9,2024-09-01,187664,81.3,53.1,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2024,10,2024-10-01,207413,78.9,54.0,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2024,11,2024-11-01,174138,58.4,26.0,Low,False,synthetic
Argentina,Buenos Aires,ARG,2024,12,2024-12-01,296163,98.0,79.9,High,False,synthetic
Argentina,Buenos Aires,ARG,2025,1,2025-01-01,140663,52.9,13.7,Low,False,synthetic
Argentina,Buenos Aires,ARG,2025,2,2025-02-01,119709,47.0,6.7,Low,False,synthetic
Argentina,Buenos Aires,ARG,2025,3,2025-03-01,123269,51.1,11.7,Low,False,synthetic
Argentina,Buenos Aires,ARG,2025,4,2025-04-01,230378,72.7,57.7,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2025,5,2025-05-01,197977,77.4,53.3,Shoulder,False,synthetic
Argentina,Buenos Aires,ARG,2025,6,2025-06-01,266450,98.0,84.5,High,False,synthetic
UK,London,GBR,2023,1,2023-01-01,487144,47.5,48.2,Low,False,synthetic
UK,London,GBR,2023,2,2023-02-01,592422,48.8,55.8,Low,False,synthetic
UK,London,GBR,2023,3,2023-03-01,387068,50.6,35.4,Low,False,synthetic
UK,London,GBR,2023,4,2023-04-01,544854,70.0,84.2,Shoulder,False,synthetic
UK,London,GBR,2023,5,2023-05-01,880584,66.9,100.0,Shoulder,False,synthetic
UK,London,GBR,2023,6,2023-06-01,974443,92.0,100.0,High,False,synthetic
UK,London,GBR,2023,7,2023-07-01,1110833,93.8,100.0,High,False,synthetic
UK,London,GBR,2023,8,2023-08-01,640716,98.0,100.0,High,False,synthetic
UK,London,GBR,2023,9,2023-09-01,678664,75.1,94.6,Shoulder,False,synthetic
UK,London,GBR,2023,10,2023-10-01,650276,78.0,100.0,Shoulder,False,synthetic
UK,London,GBR,2023,11,2023-11-01,319569,48.2,31.8,Low,False,synthetic
UK,London,GBR,2023,12,2023-12-01,1005422,87.4,100.0,High,False,synthetic
UK,London,GBR,2024,1,2024-01-01,311434,50.8,30.4,Low,False,synthetic
UK,London,GBR,2024,2,2024-02-01,497049,53.2,58.8,Low,False,synthetic
UK,London,GBR,2024,3,2024-03-01,535318,51.8,55.3,Low,False,synthetic
UK,London,GBR,2024,4,2024-04-01,611540,73.9,89.6,Shoulder,False,synthetic
UK,London,GBR,2024,5,2024-05-01,505116,73.9,76.4,Shoulder,True,synthetic
UK,London,GBR,2024,6,2024-06-01,1042137,80.6,100.0,High,False,synthetic
UK,London,GBR,2024,7,2024-07-01,928786,98.0,100.0,High,False,synthetic
UK,London,GBR,2024,8,2024-08-01,1014697,88.7,100.0,High,False,synthetic
UK,London,GBR,2024,9,2024-09-01,710909,72.5,100.0,Shoulder,False,synthetic
UK,London,GBR,2024,10,2024-10-01,776353,75.7,100.0,Shoulder,False,synthetic
UK,London,GBR,2024,11,2024-11-01,465019,49.2,39.9,Low,False,synthetic
UK,London,GBR,2024,12,2024-12-01,692963,94.4,100.0,High,False,synthetic
UK,London,GBR,2025,1,2025-01-01,498108,48.3,50.3,Low,False,synthetic
UK,London,GBR,2025,2,2025-02-01,416278,45.5,33.5,Low,False,synthetic
UK,London,GBR,2025,3,2025-03-01,483664,47.7,43.5,Low,False,synthetic
UK,London,GBR,2025,4,2025-04-01,930211,65.0,100.0,Shoulder,False,synthetic
UK,London,GBR,2025,5,2025-05-01,718635,61.6,90.0,Shoulder,True,synthetic
UK,London,GBR,2025,6,2025-06-01,998555,88.5,100.0,High,False,synthetic
Ireland,Dublin,IRL,2023,1,2023-01-01,334085,56.5,44.3,Low,False,synthetic
Ireland,Dublin,IRL,2023,2,2023-02-01,319963,67.1,56.7,Low,False,synthetic
Ireland,Dublin,IRL,2023,3,2023-03-01,325456,59.2,37.4,Low,False,synthetic
Ireland,Dublin,IRL,2023,4,2023-04-01,462900,80.9,85.1,Shoulder,False,synthetic
Ireland,Dublin,IRL,2023,5,2023-05-01,500032,88.2,96.6,Shoulder,False,synthetic
Ireland,Dublin,IRL,2023,6,2023-06-01,738896,98.0,100.0,High,True,synthetic
Ireland,Dublin,IRL,2023,7,2023-07-01,539775,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2023,8,2023-08-01,573054,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2023,9,2023-09-01,470758,80.8,85.3,Shoulder,False,synthetic
Ireland,Dublin,IRL,2023,10,2023-10-01,488556,79.6,87.9,Shoulder,False,synthetic
Ireland,Dublin,IRL,2023,11,2023-11-01,286689,56.1,30.7,Low,False,synthetic
Ireland,Dublin,IRL,2023,12,2023-12-01,497783,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2024,1,2024-01-01,304774,53.9,39.3,Low,False,synthetic
Ireland,Dublin,IRL,2024,2,2024-02-01,348388,61.1,48.6,Low,False,synthetic
Ireland,Dublin,IRL,2024,3,2024-03-01,275285,64.7,48.9,Low,False,synthetic
Ireland,Dublin,IRL,2024,4,2024-04-01,450712,81.7,77.5,Shoulder,False,synthetic
Ireland,Dublin,IRL,2024,5,2024-05-01,420112,77.3,67.4,Shoulder,False,synthetic
Ireland,Dublin,IRL,2024,6,2024-06-01,549996,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2024,7,2024-07-01,593314,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2024,8,2024-08-01,566466,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2024,9,2024-09-01,484289,77.4,86.0,Shoulder,False,synthetic
Ireland,Dublin,IRL,2024,10,2024-10-01,519443,76.2,80.0,Shoulder,False,synthetic
Ireland,Dublin,IRL,2024,11,2024-11-01,368689,66.4,56.8,Low,False,synthetic
Ireland,Dublin,IRL,2024,12,2024-12-01,557139,98.0,100.0,High,False,synthetic
Ireland,Dublin,IRL,2025,1,2025-01-01,203463,53.3,26.7,Low,False,synthetic
Ireland,Dublin,IRL,2025,2,2025-02-01,333710,62.9,46.3,Low,False,synthetic
Ireland,Dublin,IRL,2025,3,2025-03-01,291317,54.1,33.5,Low,True,synthetic
Ireland,Dublin,IRL,2025,4,2025-04-01,427470,94.9,93.1,Shoulder,False,synthetic
Ireland,Dublin,IRL,2025,5,2025-05-01,378059,84.2,84.8,Shoulder,False,synthetic
Ireland,Dublin,IRL,2025,6,2025-06-01,545730,98.0,100.0,High,False,synthetic
France,Paris,FRA,2023,1,2023-01-01,190327,43.9,21.0,Low,False,synthetic
France,Paris,FRA,2023,2,2023-02-01,227032,44.1,8.3,Low,False,synthetic
France,Paris,FRA,2023,3,2023-03-01,177341,39.9,16.4,Low,False,synthetic
France,Paris,FRA,2023,4,2023-04-01,265747,65.3,40.2,Shoulder,False,synthetic
France,Paris,FRA,2023,5,2023-05-01,354945,60.0,39.7,Shoulder,False,synthetic
France,Paris,FRA,2023,6,2023-06-01,365507,87.3,78.3,High,False,synthetic
France,Paris,FRA,2023,7,2023-07-01,492128,72.4,75.2,High,False,synthetic
France,Paris,FRA,2023,8,2023-08-01,338641,79.4,68.0,High,False,synthetic
France,Paris,FRA,2023,9,2023-09-01,301131,60.1,43.1,Shoulder,False,synthetic
France,Paris,FRA,2023,10,2023-10-01,274042,59.2,38.2,Shoulder,False,synthetic
France,Paris,FRA,2023,11,2023-11-01,219423,35.8,1.2,Low,False,synthetic
France,Paris,FRA,2023,12,2023-12-01,338712,87.8,79.4,High,False,synthetic
France,Paris,FRA,2024,1,2024-01-01,194088,41.8,3.5,Low,False,synthetic
France,Paris,FRA,2024,2,2024-02-01,179844,40.9,0.0,Low,False,synthetic
France,Paris,FRA,2024,3,2024-03-01,255206,44.6,25.7,Low,False,synthetic
France,Paris,FRA,2024,4,2024-04-01,329114,57.6,36.9,Shoulder,False,synthetic
France,Paris,FRA,2024,5,2024-05-01,301832,71.7,54.4,Shoulder,False,synthetic
France,Paris,FRA,2024,6,2024-06-01,379478,86.0,89.7,High,False,synthetic
France,Paris,FRA,2024,7,2024-07-01,360346,71.3,55.4,High,False,synthetic
France,Paris,FRA,2024,8,2024-08-01,377156,78.0,74.1,High,True,synthetic
France,Paris,FRA,2024,9,2024-09-01,356636,58.1,48.1,Shoulder,False,synthetic
France,Paris,FRA,2024,10,2024-10-01,360404,59.3,36.6,Shoulder,False,synthetic
France,Paris,FRA,2024,11,2024-11-01,215555,38.4,8.4,Low,False,synthetic
France,Paris,FRA,2024,12,2024-12-01,310345,81.9,66.5,High,False,synthetic
France,Paris,FRA,2025,1,2025-01-01,194736,46.0,14.4,Low,False,synthetic
